User-ID,Persona,Primary_Genre,Secondary_Genre
10000,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10001,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10002,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10003,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10004,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10005,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10006,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10007,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10008,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10009,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10010,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10011,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10012,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10013,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10014,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10015,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10016,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10017,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10018,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10019,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10020,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10021,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10022,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10023,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10024,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10025,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10026,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10027,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10028,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10029,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10030,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10031,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10032,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10033,Children's Book Reader,Children's Books,"Language, Linguistics & Writing, Literature & Fiction"
10034,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10035,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10036,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10037,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10038,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10039,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10040,Higher Education Student,Higher Education Textbooks,"Engineering, Exam Preparation"
10041,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10042,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10043,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10044,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10045,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10046,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10047,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10048,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10049,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10050,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10051,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10052,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10053,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10054,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10055,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10056,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10057,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10058,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10059,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10060,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10061,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10062,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10063,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10064,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10065,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10066,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10067,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10068,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10069,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10070,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10071,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10072,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10073,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10074,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10075,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10076,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10077,Crime & Mystery Reader,"Crime, Thriller & Mystery","Fantasy, Horror & Science Fiction, Literature & Fiction"
10078,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10079,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10080,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10081,Biography & History Reader,"Biographies, Diaries & True Accounts","History, Language, Linguistics & Writing"
10082,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10083,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10084,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10085,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10086,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10087,Crafts & Lifestyle Reader,"Crafts, Home & Lifestyle","Health, Family & Personal Development, Business & Economics"
10088,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10089,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
10090,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10091,Engineering Student,Engineering,"Higher Education Textbooks, Exam Preparation"
10092,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10093,Health & Self-Help Reader,"Health, Family & Personal Development","Business & Economics, Crafts, Home & Lifestyle"
10094,Exam Preparation Student,Exam Preparation,"Higher Education Textbooks, Engineering"
10095,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10096,Literature & Fiction Reader,Literature & Fiction,"Fantasy, Horror & Science Fiction, Biographies, Diaries & True Accounts"
10097,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10098,Arts & Photography Enthusiast,"Arts, Film & Photography","Crafts, Home & Lifestyle, Language, Linguistics & Writing"
10099,Fantasy / Horror / Sci-Fi Reader,"Fantasy, Horror & Science Fiction","Literature & Fiction, Children's Books"
10100,History Reader,History,"Biographies, Diaries & True Accounts, Language, Linguistics & Writing"
10101,Law & Governance Reader,Law,"Exam Preparation, Higher Education Textbooks"
10102,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10103,Language & Writing Enthusiast,"Language, Linguistics & Writing","Literature & Fiction, Arts, Film & Photography"
10104,Business & Economics Reader,Business & Economics,"Health, Family & Personal Development, Higher Education Textbooks"
