User-ID,Favorite_Main_Genres,Favorite_Sub_Genres,Favorite_Authors,Average_Rating_Given,Number_of_Books_Rated,Highest_Rated_Genres,Reading_Diversity,Most_Frequently_Read_Genres
9,"Computing, Internet & Digital Media|Crime, Thriller & Mystery",Computer Science|Thrillers and Suspense,Roger Penrose|Colleen Hoover,3.5,2,"Computing, Internet & Digital Media|Crime, Thriller & Mystery",2,"Computing, Internet & Digital Media|Crime, Thriller & Mystery"
14,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
16,"Fantasy, Horror & Science Fiction|Health, Family & Personal Development",Horror|Personal Transformation,Sri M|James Clear,4.75,2,"Health, Family & Personal Development|Fantasy, Horror & Science Fiction",2,"Fantasy, Horror & Science Fiction|Health, Family & Personal Development"
23,Children's Books,Geography & Cultures,Cocomelon,4.0,1,Children's Books,1,Children's Books
26,"Children's Books|Crime, Thriller & Mystery",Computers & Technology|Thrillers and Suspense,Stan Berenstain|செவத்த சிங்காரி,4.75,2,"Children's Books|Crime, Thriller & Mystery",2,"Children's Books|Crime, Thriller & Mystery"
39,"Computing, Internet & Digital Media",Databases & Big Data,Jiawei Han,3.5,1,"Computing, Internet & Digital Media",1,"Computing, Internet & Digital Media"
44,Medicine & Health Sciences|Romance|Literature & Fiction,"Nursing|Sports|Crime, Thriller & Mystery",Vinod Gupta & Yogesh Gupta Preeti Agarwal|Ritika Aastha|Sophie Lark,3.6666666666666665,3,Literature & Fiction|Medicine & Health Sciences|Romance,3,Medicine & Health Sciences|Romance|Literature & Fiction
51,Children's Books,"Fantasy, Science Fiction & Horror",J.K. Rowling,4.5,1,Children's Books,1,Children's Books
67,Children's Books|Business & Economics,Growing Up & Facts of Life|Industries,Ross Welford|Ram Charan,4.0,2,Children's Books|Business & Economics,2,Children's Books|Business & Economics
68,Children's Books,Animals & Pets,Wonder House Books,4.0,1,Children's Books,1,Children's Books
75,Children's Books,Literature & Fiction,Murty Sudha,4.5,1,Children's Books,1,Children's Books
91,"Crafts, Home & Lifestyle",Lifestyle & Personal Style Guides,Alex Bond,4.5,1,"Crafts, Home & Lifestyle",1,"Crafts, Home & Lifestyle"
95,Exam Preparation,Professional Certification Exams,LearnX,4.5,1,Exam Preparation,1,Exam Preparation
99,"Literature & Fiction|Crafts, Home & Lifestyle",Humour|Home & House Maintenance,SHALINI SRINIVASAN|Santhi Sivakumar சாந்தி சிவகுமார்,4.5,2,"Crafts, Home & Lifestyle|Literature & Fiction",2,"Literature & Fiction|Crafts, Home & Lifestyle"
114,Law|Comics & Mangas,Tax Law|Comics,CA. KAMAL GARG|Jeff Kinney,4.75,2,Comics & Mangas|Law,2,Law|Comics & Mangas
125,Exam Preparation,Professional Certification Exams,LearnX,5.0,1,Exam Preparation,1,Exam Preparation
135,Children's Books,"Games, Toys & Activities",Zack Zombie,4.5,1,Children's Books,1,Children's Books
144,Literature & Fiction,Short Stories,Ruchi Chandra Verma,4.0,1,Literature & Fiction,1,Literature & Fiction
165,Children's Books,Humour,Jeff Kinney,4.5,1,Children's Books,1,Children's Books
169,Science & Mathematics,Environmental Studies,lndu Tucker Sidhwani,3.5,1,Science & Mathematics,1,Science & Mathematics
185,Engineering,Electrical & Electronic Engineering,R P Jain (Deceased),5.0,1,Engineering,1,Engineering
193,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
224,Literature & Fiction,Humour,Rajani Thindiath,4.0,1,Literature & Fiction,1,Literature & Fiction
232,"Arts, Film & Photography",Music,Trinity College London,3.0,1,"Arts, Film & Photography",1,"Arts, Film & Photography"
236,Children's Books,"Family, Personal & Social Issues",Liz Pichon,4.0,1,Children's Books,1,Children's Books
242,Children's Books,Animals & Pets,Eric Carle,5.0,1,Children's Books,1,Children's Books
243,Children's Books|Exam Preparation|Literature & Fiction,Literature & Fiction|Polytechnics & ITI|Growing Up & Facts of Life,Wonder House Books|Dr. Renu Mishra & EBS Team|Compiled by Maple Press,4.080645161290323,31,"Exam Preparation|Crime, Thriller & Mystery|Fantasy, Horror & Science Fiction",14,Children's Books|Exam Preparation|Literature & Fiction
