Main Genre,Book-Rating
"Biographies, Diaries & True Accounts",3.7923280423280423
Business & Economics,3.742165242165242
"Health, Family & Personal Development",3.7087295781516705
"Crime, Thriller & Mystery",3.700719822812846
Children's Books,3.61256836311701
"Fantasy, Horror & Science Fiction",3.5740878629932986
"Arts, Film & Photography",3.56091471939285
Literature & Fiction,3.543467978431558
Engineering,3.5429483459082993
History,3.534368457780879
Textbooks & Study Guides,3.5163934426229506
Higher Education Textbooks,3.504458277254374
Society & Social Sciences,3.503814021067926
"Language, Linguistics & Writing",3.4990936555891237
Teen & Young Adult,3.496580547112462
Politics,3.4905405405405405
Comics & Mangas,3.4874772313296902
Exam Preparation,3.473487173192586
"Crafts, Home & Lifestyle",3.4674377486371
"Computing, Internet & Digital Media",3.466927322907084
Romance,3.4627620351838195
"Sciences, Technology & Medicine",3.4484348459111867
Religion,3.4456869009584663
Reference,3.4338235294117645
Medicine & Health Sciences,3.4145812053115425
School Books,3.4019283746556472
Law,3.332139659803044
Science & Mathematics,3.321681068342498
Sports,3.2290157648061353
Travel,3.150485436893204
