Count,count
Paperback,4200
Kindle Edition,2347
Hardcover,787
Audible Audiobook,199
Board book,181
Perfect Paperback,45
Product Bundle,44
Unknown Binding,24
Mass Market Paperback,17
Sheet music,16
Spiral-bound,12
Flexibound,9
Cards,9
Wall Chart,7
Kindle Edition with Audio/Video,4
Staple Bound,4
Poster,3
Textbook Binding,3
Single Issue Magazine,2
Map,2
Puzzle,1
Rag Book,1
Print on Demand (Hardcover),1
Gift,1
Misc. Supplies,1
Library Binding,1
Diary,1
Paperback Bunko,1
Card Book,1
Workbook,1
Stationery,1
Calendar,1
Game,1
